DIA;TIEMPO_DESPACHO;TIEMPO_ATENCION;TIEMPO_DERIVACION;TIEMPO_ATRASO;TIEMPO_PROCESO
1;177.28027947674414;28.71325060056562;51.90599646166767;50.291591574083384;249.8465049396919
2;174.75431080619816;29.349894386234546;56.49247729223464;50.25454569708393;247.91946621797166
3;182.3089964862001;29.036646540842348;53.9533862192038;36.480608023809815;251.81932684802732
4;183.22624123846134;28.99430140909671;51.87848426286714;36.14070896471733;248.76977460526308
5;187.5987557495254;29.0895779555244;52.05183961764064;35.91034549692422;260.9602406920202
6;183.43299125249166;28.86057572202298;51.22181721996739;35.91034549692422;248.05742377665476
7;182.03116869257593;28.86387970691149;49.2924925287032;34.91180285014492;246.8272653581046
8;181.91706863511723;29.022707802828425;49.27330566296455;34.312677262077344;241.44605849960763
9;181.80296857765848;29.012959633661392;49.266910041051666;34.312677262077344;241.31170468945734
10;181.91706863511718;29.08454927290812;50.00737674114515;33.66789185108777;240.38626362930455
11;176.9298263657289;28.97173223808945;51.22181721996739;32.90587764052844;237.8436053910542
12;175.41494454275477;28.9597493500186;50.43629732895751;32.87441134449218;233.8931309836785
13;174.28903041482224;28.913466520909303;50.00737674114515;32.87441134449218;232.35027864113812
14;173.29453883275272;28.913466520909303;49.445067773887324;32.87441134449218;229.81497691940143
15;172.1524251631417;28.931979652553025;49.194626439814165;32.87441134449218;228.52205007685527
16;175.51411649463878;28.8536791810213;49.2541187972259;28.148328031778732;231.24483399307297
17;174.39219332634644;28.600347418046;49.0707340569835;28.148328031778732;229.06103639950345
18;174.241105214131;28.528655230845445;48.991294633037604;28.148328031778732;228.70171218440473
19;173.1192309861465;28.433075039432318;48.991294633037604;27.62174972591303;227.19609629493448
20;175.301270902987;28.801018463350427;49.054846172194324;23.287609153319025;228.70171218440473
21;175.5041992994504;28.836125608464354;49.30528377252897;23.210151808325737;230.14981684930083
22;175.72771352475826;28.502819592375047;49.471745449776456;22.64685192078842;229.22607773443883
23;175.48436490907358;28.670181431105682;49.498423125665525;22.64685192078842;229.2535846235947
24;175.24443408310313;28.66221940675966;49.578456153332795;20.41367883859572;229.3662661490448
25;173.55860060907014;28.636226587422613;49.230596210675614;19.830928894355374;226.9296609643596
26;173.22917343660336;28.468372074414543;49.0707340569835;27.958855068996492;227.4440774315589
27;171.80273369812116;28.653678457305343;49.0707340569835;26.657286702567944;226.81475246204536
28;171.05927210446637;28.65206450385542;49.365034746220054;26.657286702567944;226.59512885153333
29;172.55762437762957;28.485595833394786;50.12816236529633;27.168938939429108;228.1856894300062
30;171.61566212572902;28.58400688957991;49.8985255528061;27.168938939429108;226.94321303294709
