TEV2
10
1
3
11
3
9
6
3
33
2
4
11
14
53
25
9
8
1
25
1
16
1
4
16
4
28
0
10
3
35
16
7
9
9
39
1
11
5
4
6
1
13
3
52
13
7
27
12
8
6
9
1
20
1
14
18
2
15
22
29
4
12
1
28
0
30
28
1
14
30
1
18
14
27
18
9
3
13
11
0
12
8
10
6
1
18
9
29
15
5
2
15
14
7
4
1
7
25
8
18
7
0
7
5
10
2
11
0
16
2
3
3
21
4
3
2
3
10
8
22
15
3
18
14
30
15
7
12
5
2
18
26
1
22
27
6
1
1
0
7
25
21
4
8
2
11
0
2
1
0
6
29
14
1
5
2
10
14
12
1
1
9
68
2
2
19
3
4
6
2
15
13
0
33
1
39
10
35
5
11
8
14
4
6
35
19
2
16
6
26
22
9
22
6
10
7
29
5
19
1
3
0
4
8
2
1
1
8
15
6
8
7
3
8
7
4
8
13
26
5
7
3
12
3
21
1
10
17
21
9
16
4
45
2
32
4
23
10
28
3
4
13
25
3
4
17
30
0
6
7
7
9
24
11
19
3
12
3
11
8
4
51
8
2
15
12
1
38
5
10
0
10
1
3
33
14
19
16
5
14
2
12
0
47
38
2
11
5
3
7
13
10
3
11
19
2
1
2
15
5
24
20
15
1
13
9
3
8
3
16
2
9
8
2
2
2
5
10
2
14
1
18
24
1
7
1
8
16
4
3
13
16
5
10
19
2
19
6
7
1
12
6
5
2
21
1
15
4
10
9
10
3
13
4
9
10
47
13
9
10
1
2
35
4
12
10
18
11
26
4
3
25
9
2
16
11
9
20
1
25
1
6
0
43
10
34
52
4
3
1
2
6
2
26
1
1
21
17
18
2
5
11
7
13
8
2
1
1
15
6
31
16
21
4
15
27
9
1
19
8
3
1
12
0
4
1
10
20
4
12
44
1
5
16
7
10
2
1
13
10
5
13
4
4
9
3
10
9
1
4
18
2
5
36
13
35
9
26
21
14
2
52
22
6
37
21
13
10
43
1
11
23
21
8
7
0
7
24
15
6
6
2
11
13
19
1
13
15
17
13
15
9
10
1
3
4
6
26
1
11
11
16
3
12
9
3
11
3
8
21
7
6
1
4
14
7
0
9
20
4
15
4
0
28
5
2
7
13
1
3
15
34
3
83
7
24
5
17
23
13
25
2
9
17
0
11
8
26
1
20
10
2
30
5
7
16
0
41
2
1
38
2
6
21
3
16
14
7
11
3
10
34
9
2
5
6
9
2
10
1
4
1
27
14
5
10
5
7
2
10
8
4
25
11
1
4
9
18
1
9
2
11
22
5
1
25
4
9
18
3
5
8
4
17
6
55
1
4
8
8
6
6
2
7
11
10
9
10
33
10
2
14
5
1
4
2
16
8
2
14
3
15
13
1
5
6
17
3
6
22
6
1
5
7
4
16
11
13
11
5
4
3
3
15
19
35
19
0
1
11
11
1
8
24
12
6
42
10
0
20
4
11
5
4
11
14
8
5
8
65
13
13
9
3
2
33
18
9
9
22
1
3
0
9
17
8
10
1
6
5
1
14
2
34
19
10
6
3
1
9
9
13
58
11
15
1
6
0
18
14
27
2
3
2
3
8
2
10
13
69
0
4
1
13
1
9
11
8
5
8
2
12
1
17
5
2
5
44
38
20
3
10
17
1
5
6
11
6
15
1
3
28
1
5
10
26
5
1
28
27
23
1
4
9
1
15
18
5
10
1
2
18
5
4
1
12
7
1
12
25
6
6
2
14
11
14
3
24
8
0
10
2
10
12
7
1
6
23
13
14
3
10
8
14
34
19
