DIA;TIEMPO_ATRASO;TIEMPO_DESPACHO;TIEMPO_IDA;TIEMPO_ATENCION;TIEMPO_TRASLADO;TIEMPO_DERIVACION;TIEMPO_PROCESO
1;0.0;4.13363260452096;73.87799135137533;25.89920429940205;36.726117855963466;14.325810364733051;140.11545669668908
2;0.2548495408409508;4.79750764379039;91.84630489400274;21.71776873629785;38.229456335344004;14.53054321249435;155.92532404819042
3;0.2548495408409508;4.86059272624669;86.10372871993673;21.4701232798556;38.41678586225356;13.663821967979;147.0783273854933
4;0.2548495408409508;5.33933285013078;91.36352496529105;21.51583511536745;37.897983084556024;13.7531059801014;154.75109323331023
5;0.2548495408409508;5.5736337549703;92.44811364471752;21.87107546135015;38.41678586225356;14.391218418389975;155.72788653306446
6;0.2548495408409508;5.51303546083297;90.91372894473807;21.45974957651735;37.10232944824558;14.4642997036753;148.6598989292005
7;98.76446990062277;5.691448483343574;96.07241217868966;21.56694558318985;35.988855383508735;14.431278280143625;166.94946960439185
8;98.76446990062277;5.59068662072131;94.79717352660737;21.3326656180625;36.085197510866834;14.4933577539763;165.8966313952064
9;98.76446990062277;5.691448483343574;95.23447396965184;21.1877642348098;35.71148931329416;14.4933577539763;164.95159594183121
10;98.76446990062277;5.843921507506847;92.62582481846925;21.3426075385656;35.44649341161076;14.4497706785248;159.74070064796007
11;98.76446990062277;5.646100492544725;91.42575126047848;20.8437444849787;35.40526142054859;14.4352416533743;158.56446518641167
12;98.61343941181076;5.6936089112835155;94.07843459868036;21.18481710818785;35.487725402672936;14.33829532057895;159.96705435295826
13;98.61343941181076;5.6111172123842;94.54120381821713;21.23112671632105;35.255017627328584;14.356136974912374;161.75979103649337
14;98.61343941181076;5.48738804508487;92.61100368524785;21.340122058439825;35.27300099131566;14.3325446376672;158.8544021019484
15;98.61343941181076;5.49283602945386;91.46246266980597;21.5636302394301;35.20490018930799;14.2809943891494;158.02421497110166
16;98.61343941181076;5.488750041177118;91.05090545262101;21.48560226319545;34.87226519409915;14.1646965806279;156.0091166300349
17;98.61343941181076;5.48738804508487;91.05023210894024;21.5643320732969;34.86135920431592;14.064166137838875;155.92510578907047
18;98.61343941181076;5.5736337549703;90.4919765068048;21.4066948037267;34.708399435236764;14.132617278139548;154.8190353382597
19;98.61343941181076;5.488750041177118;90.0310134279049;21.3426075385656;34.64234940242318;14.06816819047855;154.79852938700432
20;98.61343941181076;5.60550268512052;89.57695027990576;21.322150515304074;34.44993016703696;14.1450529984779;153.67508464974264
21;60.345461978527965;5.5736337549703;90.65056556659943;21.183343544876877;34.69288784724776;14.332727769847374;155.8417787004918
22;52.18994565457251;5.5736337549703;91.05023210894024;21.1877642348098;34.725791814422585;14.331149912696775;155.96965632195366
23;52.18994565457251;5.5736337549703;90.5675585254819;21.142938687049853;34.755957289766734;14.3322628615239;155.76856623085058
24;52.18994565457251;5.584655145780594;90.58354976622445;21.23112671632105;34.70092228708479;14.3349776517103;155.86006166983717
25;52.18994565457251;5.55343432359119;89.69939945717579;21.2652552718574;34.68887062732924;14.3597368984436;154.77802343574893
26;52.18994565457251;5.584655145780594;89.18011257049875;21.410893348029;34.64234940242318;14.3424681463401;153.41348757026023
27;52.18994565457251;5.58832894271736;89.17016917743467;21.410893348029;34.68887062732924;14.3424681463401;153.41348757026023
28;52.18994565457251;5.588727437353782;87.58944706085015;21.5643320732969;34.67724032110272;14.3322628615239;152.71826123810584
29;52.18994565457251;5.665908602651675;88.55217992309622;21.611462304072226;34.64234940242318;14.3322628615239;153.08907871094544
30;52.18994565457251;5.662436522708759;88.29378957428162;21.638605231052452;34.64234940242318;14.332727769847374;153.67508464974264
