DIA;TIEMPO_ATRASO;TIEMPO_DESPACHO;TIEMPO_IDA;TIEMPO_ATENCION;TIEMPO_TRASLADO;TIEMPO_DERIVACION;TIEMPO_PROCESO
1;0.0;3.5782547481380647;57.88783888220143;18.875466025270534;28.024410639647286;11.477311749359533;119.06421276184685
2;0.2548495408409508;3.6553999438417453;73.56608596687879;15.759151476405318;29.37423324280124;11.047066941752115;131.63293128451096
3;0.2548495408409508;3.7088196338723187;67.68703037448553;15.68744270765776;29.117687582762887;10.562925789215004;126.13784053561207
4;0.2548495408409508;4.001740290588085;69.44718651396705;15.721837042013924;29.172755023065424;10.780409302980924;127.69945096162422
5;0.2548495408409508;4.244564127148194;70.99186539690388;15.949101302409233;29.472560555378216;10.882108737284248;130.12887422785545
6;0.2548495408409508;4.173103676713873;69.35806321507675;15.77009004859144;28.533872101205176;11.10584743673235;127.30094763187431
7;59.453692700376905;4.251624725244429;76.60335403670742;15.780813713807149;28.013632855282793;10.994782607798442;138.64195361047413
8;59.453692700376905;4.152247284266684;75.66575751622337;15.753217586074753;28.212861376736093;11.068694049817253;137.2261115742237
9;59.453692700376905;4.1846860897721765;75.37589669602751;15.76482823769554;27.937995170008364;11.032240780178642;136.14087714809585
10;59.453692700376905;4.229193680423682;73.32624981835531;15.858195637665988;27.832040466414398;11.033424560674744;133.89076018567866
11;59.453692700376905;4.218042183295769;72.25438062676307;15.716004094718334;27.988463756051235;11.035943784762157;132.55217267519762
12;58.01775247503291;4.219099846568446;73.68768215174336;15.751106925937544;28.15525236087828;10.939683091823603;133.69981196883148
13;58.01775247503291;4.1309622815260125;73.65322762449411;15.85149445003563;28.022897232358154;10.883353617873317;133.3632676885836
14;58.01775247503291;4.110627528250351;72.3800090781817;15.917082353185668;28.021589225734193;10.891255655863247;131.96271489954455
15;58.01775247503291;4.090435917331422;71.30338847745175;16.076244199772184;27.939220446311033;10.833185608903532;130.72377228623031
16;58.01775247503291;4.0722331793294515;70.24482453342512;16.057933457198644;27.730461995021862;10.857223461533572;129.3516777092069
17;58.01775247503291;4.0658117399931895;70.34356318971298;16.128999258089202;27.76699251011232;10.775053005753392;129.36311865527048
18;58.01775247503291;4.076486387568606;69.89002696978768;16.041156948827375;27.612972394117907;10.792934749101185;128.5452494434099
19;58.01775247503291;4.071297905782339;70.01477823863995;16.05682075043939;27.617091678931153;10.750945565777414;128.59955005614705
20;58.01775247503291;4.108577893210286;69.98931014043394;16.003676615185157;27.47431342098966;10.753302541009193;128.29327461383852
21;38.95478243581916;4.093623701022372;70.95737098252168;15.847351979920425;27.655158649171078;10.89018052695711;129.5272460532341
22;36.63030784101979;4.1013828078625085;71.58910278394274;15.911780678006462;27.615115554042408;10.880780104370597;130.2542929001855
23;36.63030784101979;4.093830651967958;71.48915286736447;15.883563897607942;27.70670707639691;10.895695483365499;130.1228179027428
24;36.63030784101979;4.072829607126004;71.36851609918162;15.923513565500262;27.588028807906735;10.954382424787973;129.8953485807938
25;36.63030784101979;4.046668843777461;70.89598480234316;15.929697817918465;27.517653112957916;10.958581816041765;129.35489030038062
26;36.63030784101979;4.046324803404075;70.48767125021688;16.03197589964603;27.404881653954348;10.941090028438781;128.8529152143605
27;36.63030784101979;4.044687984237699;70.47383085477149;16.026888288493762;27.452587623605456;10.933927956391651;128.89015883973207
28;36.63030784101979;4.0494319234991005;70.18303119301932;16.08397661446729;27.393150313678905;10.899627461470669;128.508980342746
29;36.63030784101979;4.094514518613148;70.24205418386136;16.096668013194684;27.306494959193515;10.905393450664464;128.41220071423047
30;36.63030784101979;4.091740995695608;70.20212691026373;16.171905948131776;27.27889661595465;10.912664021683028;128.4166191666369
