DIA;TIEMPO_ATRASO;TIEMPO_DESPACHO;TIEMPO_IDA;TIEMPO_ATENCION;TIEMPO_TRASLADO;TIEMPO_DERIVACION;TIEMPO_PROCESO
1;0.0;5.504957515030224;79.13888415530269;34.00659850208192;46.43591030857354;15.880786266991109;155.00502876311506
2;0.2548495408409508;5.4068505356168535;111.03077208537994;26.974388891094986;48.48720934226917;16.26526523470605;172.86417461439456
3;0.2548495408409508;5.87225942092908;102.32374224634002;27.53929577101933;47.624945302606164;15.69560288832956;167.27023001894233
4;0.2548495408409508;7.1434355130729195;105.36466599172608;27.33981124099786;48.27435485901886;16.2424636584503;177.21057520297654
5;0.2548495408409508;7.412254953224083;109.20137624757513;27.3114811264195;48.31834213033958;16.505921201863217;181.90651945228495
6;0.2548495408409508;7.353973981427375;106.52534312164494;26.960826072725908;47.04292510958816;16.96950462763909;178.58432291144516
7;101.6539335839655;7.630822515276754;122.12188426251026;26.680873366611994;45.617392061110834;16.778259882902347;207.20022045901752
8;101.6539335839655;7.167004911726271;122.02441240717326;26.5601990916325;45.72305662103904;16.9955543993721;204.27442759208748
9;101.6539335839655;7.234991094544843;121.16118448704707;25.84467565793846;45.86819141060236;17.020133975973142;201.65223407910477
10;101.6539335839655;7.37703410348775;118.8554468037568;25.8928547563094;45.341058891333375;17.12024749909217;197.53158833848295
11;101.6539335839655;7.35341626943707;116.83295144884313;25.632286567263378;45.35396694240852;17.058367042499295;196.3610164237578
12;101.41637251314714;7.5113820708222185;120.29825990453118;25.531428684540703;46.10744353524882;17.12324885437976;197.84760981598254
13;101.41637251314714;7.259372588781985;120.605516128327;25.63208125238042;45.73194147668717;17.050788405772455;197.69972638288928
14;101.41637251314714;7.123255908794042;119.09298547940877;25.784971279508415;45.734480006872346;17.052984645646983;194.95056848250587
15;101.41637251314714;7.12446242450929;117.14883566794997;25.91669206071132;45.444323299934624;17.12243030293769;192.39060055631754
16;101.41637251314714;7.0974232872206935;112.21541270441337;25.913712397661083;44.922142206740084;17.018220010119936;186.55793453007436
17;101.41637251314714;7.106111976902763;112.40250677931105;26.19413795711816;44.76815706395902;16.820674112238404;186.00654108845876
18;101.41637251314714;7.115358475837778;111.0385904474315;26.1846605589944;44.37074264599164;16.831971115260565;184.6637769180374
19;101.41637251314714;7.118233406997203;110.84271429092334;26.133163413837053;44.36609909334671;16.859590573844713;184.61205081237037
20;101.41637251314714;7.128621407074489;110.63479073794933;26.123694806476287;43.77722648664318;16.771427982031867;183.43793761001044
21;97.38439320019624;7.075333288823254;112.27966469755046;25.98348961060816;44.207959400445525;17.00004795015024;184.61205081237037
22;84.73427517343512;7.095524690942747;114.46392282722084;26.077357543169242;44.292672286694376;16.914829491013;185.6479464396178
23;84.73427517343512;7.095524690942747;113.83142564197317;26.039068480316693;44.46238023106684;16.957995528196918;185.33795546484558
24;84.73427517343512;7.013881426776808;112.46086969299093;26.076473650517077;44.38316721313201;17.038552524950813;184.89190372049146
25;84.73427517343512;6.966989826505884;111.9182265840621;26.055445141170757;44.37764518329185;17.03790266191356;183.40163984002143
26;84.73427517343512;6.97441812175519;111.2533170003829;26.203793888757758;44.110931347280854;17.014935071675097;182.83740891956535
27;84.73427517343512;7.004384619816333;111.06776290657452;26.19549187113584;44.11914145855811;17.003353234071422;182.8575010690867
28;84.73427517343512;7.012298585602285;110.64874394897797;26.2742717917829;44.08777171604259;16.992152498486885;182.75988120746914
29;84.73427517343512;7.097978622096292;110.66734823034949;26.27469574296475;44.058374797648334;16.959559902434176;182.20400042311704
30;84.73427517343512;7.088857975809315;110.7725450619263;26.318968341965075;44.0559245113769;16.9858346825572;182.03521046641953
