TEV1
197
141
109
333
94
306
75
394
119
97
69
16
102
284
98
247
150
136
19
171
85
203
96
168
220
291
167
202
264
19
117
65
73
15
277
33
180
385
97
369
246
62
213
43
118
202
260
74
414
178
38
46
218
294
86
367
31
573
203
14
96
261
263
260
74
23
141
209
34
293
85
215
97
274
73
397
167
144
242
27
283
122
237
146
61
163
125
225
264
30
165
215
46
50
151
21
277
261
6
258
56
114
71
225
185
316
194
157
46
218
140
414
331
18
233
212
226
28
161
294
190
26
102
175
320
485
200
404
