TEV5
65
77
96
63
676
582
157
31
9
49
908
173
67
43
498
76
24
700
623
105
20
285
29
67
362
804
162
142
491
309
311
85
903
217
395
92
135
822
107
24
9
140
272
182
289
773
179
396
385
87
41
69
36
801
84
41
93
160
16
832
83
613
263
55
17
192
893
9
912
810
126
206
440
594
128
48
849
1358
698
303
459
152
3
226
225
273
294
815
21
55
700
909
653
951
136
653
25
77
53
48
8
103
23
129
652
280
363
21
34
783
37
93
75
29
145
1002
200
77
196
63
64
15
806
672
47
144
151
408
227
198
916
26
187
212
156
700
88
406
140
317
161
34
119
20
50
198
108
148
576
1038
1161
77
42
1148
250
542
184
1012
57
30
110
125
23
756
335
55
163
58
485
45
83
20
21
16
576
44
5
58
778
904
63
114
125
173
63
50
32
783
65
189
95
809
38
51
340
76
125
209
666
294
135
778
1422
181
858
170
166
174
729
352
77
811
42
754
50
276
1388
559
1278
171
335
178
153
224
3
56
72
13
767
18
429
845
56
487
148
321
784
156
21
3
86
715
123
29
239
1160
1226
855
24
143
