DIA;TIEMPO_DESPACHO;TIEMPO_ATENCION;TIEMPO_DERIVACION;TIEMPO_ATRASO;TIEMPO_PROCESO
1;97.54319785557928;15.104952281493958;28.938490472214934;17.356240974863432;152.8974493344801
2;88.64491691761076;16.048023959881643;29.166645297597043;17.076693240535125;140.2594426790068
3;93.77412369398972;15.651683805774924;28.617695993695737;12.650722064958039;144.10468330641814
4;92.04426209063196;15.720972091665748;28.269992010463888;11.748572059503914;140.54516191882922
5;94.14801798667753;16.14771660001858;27.98727939279663;11.486423597734495;142.16485242526448
6;88.89449919471602;15.986193365550841;27.568224479565387;11.486423597734495;135.89202190205242
7;88.08042353447975;16.030730464251004;27.29368275870834;11.082208488597143;134.68631468038745
8;87.5673345655552;16.070241166132526;26.97852045730288;10.878867508694027;133.2996877945508
9;87.4844118893424;16.061395096666033;26.968234776853635;10.878867508694027;133.19255080856323
10;87.23846433303646;16.11500400096959;27.13966446971613;10.56325598765968;132.86125904785524
11;86.69827708304508;15.994809893069135;27.32393419163845;9.994784605159282;132.24684552271842
12;85.40245849015253;16.062794215908866;27.00984444499713;9.929973239381491;130.44479088527234
13;84.2534266044231;16.04907766598049;26.952101362447557;9.929973239381491;129.15916399225634
14;84.0385631710922;16.052803780604467;26.805173616912757;9.929973239381491;128.70539247779325
15;82.55230657251713;16.02803587897816;26.628717096820395;9.929973239381491;126.95568117200929
16;83.50898516979323;15.888065740367532;26.631545778138165;8.9538570878101;127.7534612581742
17;82.45706313316421;15.85475405837391;26.621213853663313;8.9538570878101;126.52420018067978
18;82.27644841383237;15.830658076164557;26.5514714465894;8.9538570878101;126.19794909410403
19;82.02276847414744;15.753172591884436;26.466015557838514;8.81650969534297;125.62552873559133
20;82.66720254863134;15.857868526026062;26.36985529524722;7.978125556707738;126.15278899530252
21;82.96927345471802;15.89286237204136;26.45006526038302;7.766101629836824;126.60872308742556
22;83.22652673743627;15.729162211069639;26.489691534952875;7.628858236322436;126.6669342812999
23;82.7861559366976;15.798922930177174;26.63412456779136;7.628858236322436;126.40682477053535
24;83.24546793442089;15.7625204958542;26.581966201625576;7.335867755501478;126.71094503671274
25;82.95373480642876;15.769999309340808;26.484069884546436;7.127569200392897;126.28878575577724
26;83.53391552528149;15.703148029372453;26.39093694758944;8.500438346003842;127.06696359480222
27;83.25940623170357;15.753804373278737;26.364311668735503;8.188154595152477;126.76265953669304
28;82.72137417709253;15.818963976330888;26.547325637943487;8.188154595152477;126.47003881361786
29;83.68546905169083;15.842642217525464;26.6111448735707;8.233882819046581;127.59368768792355
30;83.14805168493773;15.856884713591318;26.621412605496975;8.233882819046581;127.10010191417125
