DIA;TIEMPO_DESPACHO;TIEMPO_ATENCION;TIEMPO_DERIVACION;TIEMPO_ATRASO;TIEMPO_PROCESO
1;62.10753569317619;7.68806961432267;17.088021104424453;2.060459959077008;105.28019604289358
2;45.7866931051602;8.398109453055344;17.22369495008418;1.7446565184131373;88.6109438535602
3;45.70393812516869;8.249202295865395;17.10338397218706;0.9359506100122417;88.77205970972727
4;43.711876231110566;8.387191690962895;16.61006432473426;0.8405183580618996;86.89768075812809
5;43.376338287190336;8.63682502412481;16.42421872262907;0.8364618604946372;86.79825524542805
6;39.55652988893263;8.621811531159555;16.42629127251056;0.8364618604946372;82.6489950997865
7;39.5838271107739;8.578292243071887;16.197893333997605;0.8035852008497386;81.40536769370102
8;39.41383643002683;8.520835976352465;15.890291744562834;0.8364618604946372;79.15888819922549
9;39.436745851166066;8.533255892837238;15.896277577235303;0.8364618604946372;79.12945790923547
10;39.579773359705214;8.54567580932201;15.86722482965768;0.7651012097462626;79.67865911657177
11;39.58788086184259;8.407489090087932;16.0315422799924;0.707915009638441;79.47128412272001
12;39.55652988893263;8.482397040838649;15.561483620574336;0.6574924631067915;78.86265793344094
13;39.436745851166066;8.5343545252929;15.439971905695234;0.6574924631067915;77.96741559791852
14;39.070849587113784;8.54567580932201;15.226779814655801;0.6574924631067915;77.31463493034525
15;38.118209183051846;8.578292243071887;15.031903296083641;0.6574924631067915;76.32987729618412
16;37.99641722259244;8.567420098488594;14.99364446370817;0.6574924631067915;76.09703646065351
17;37.42866052538727;8.62561498144184;15.005491756057094;0.6574924631067915;75.56448665072872
18;37.401976926878845;8.61440493875887;14.743630266623892;0.6574924631067915;75.56448665072872
19;37.408996861124926;8.62678316278285;14.67819167394267;0.6567204738191776;75.33633134557545
20;37.92674856854359;8.630946250952485;14.440208451037723;0.6015351766909589;75.72091256273418
21;38.08540122187657;8.63538309095296;14.491154056129059;0.5993358720352262;76.01950990225414
22;38.0547559272423;8.584737466897153;14.459262954554228;0.5923381784471076;75.69147455208793
23;37.80362514138238;8.584737466897153;14.54987770956132;0.5923381784471076;75.5659047243002
24;38.04399506500397;8.49599614338292;14.478317458070734;0.5720707668779141;75.70619355741105
25;38.100804875007796;8.541085593895065;14.476133587481211;0.5705966699952114;75.91916241469858
26;38.30376525641695;8.497094775838583;14.397809653137939;0.5993358720352262;76.3762298263414
27;38.352914064471776;8.480043853965807;14.397809653137939;0.5923381784471076;76.44795961938195
28;38.11978067427301;8.52731494761423;14.612649962861664;0.5923381784471076;76.4269866389553
29;38.54094770930151;8.575883625381097;14.65008185555427;0.5848920576156615;77.0164428712131
30;38.365540516385764;8.608699763335443;14.576883494830692;0.5848920576156615;76.6215920161746
