TEV
1
12
10
5
3
6
2
14
4
24
8
3
6
5
0
21
5
6
13
35
6
4
4
0
1
8
3
45
4
5
3
3
17
30
2
6
31
18
4
21
23
49
2
14
16
22
5
0
1
2
7
17
1
3
1
6
1
2
20
7
10
5
1
3
4
22
24
23
8
8
7
6
1
3
7
4
29
21
19
1
20
0
11
4
17
19
5
4
3
10
4
27
3
5
21
3
7
0
1
13
8
14
4
11
23
2
35
8
24
16
5
6
15
15
2
4
9
6
5
1
0
33
1
13
11
3
16
24
10
17
2
15
9
4
67
15
21
6
6
2
7
17
16
7
20
5
0
6
6
1
10
3
2
6
10
44
12
15
53
9
14
4
6
1
1
2
2
2
24
10
25
20
0
3
1
4
6
1
3
8
3
25
3
10
2
25
9
13
6
2
0
3
2
1
27
11
26
4
6
12
5
12
21
0
3
4
2
11
13
14
0
6
21
8
4
24
1
5
2
4
3
3
5
18
16
0
11
0
14
7
1
18
1
2
0
17
2
3
13
4
7
10
6
21
4
21
0
0
16
3
3
4
7
6
3
4
1
27
7
29
11
7
0
14
32
3
6
6
5
18
7
2
3
4
2
9
2
1
12
19
14
16
3
13
10
2
3
3
10
1
41
0
10
10
13
7
5
8
7
22
13
12
36
3
2
41
11
1
3
2
8
5
3
10
7
16
15
22
3
3
0
16
1
6
1
10
3
1
8
0
3
8
12
4
4
19
10
14
5
6
20
0
15
2
15
10
44
0
4
4
0
18
1
13
2
13
6
9
3
3
7
0
11
1
17
8
14
24
0
22
5
28
2
3
4
7
14
8
6
12
6
11
2
13
9
5
1
6
24
7
2
23
3
5
4
17
9
18
5
11
0
6
3
15
10
27
15
3
11
20
12
2
16
31
4
3
6
9
4
11
5
10
6
1
9
3
8
11
5
2
10
6
1
49
7
4
6
7
12
8
0
3
29
4
17
1
3
4
1
1
8
10
13
5
33
2
3
4
1
3
2
19
12
7
0
16
19
15
11
15
4
8
14
1
29
6
20
10
8
5
5
7
4
6
29
9
8
4
24
14
26
5
1
5
1
5
2
18
6
16
6
16
6
1
15
3
2
13
3
12
0
2
15
38
2
2
7
16
16
21
7
9
0
1
14
15
2
5
3
31
17
19
3
13
11
17
1
2
17
8
11
5
2
23
5
1
9
2
4
8
3
56
2
1
9
4
4
3
3
5
6
5
1
1
6
7
8
9
9
0
1
49
23
10
1
51
5
3
23
14
25
7
9
18
6
18
3
27
9
23
12
5
11
5
7
11
11
51
9
8
17
20
8
1
0
3
3
19
6
17
8
4
20
2
14
2
10
6
5
6
4
6
12
19
6
2
5
22
4
4
13
3
45
2
25
8
15
17
13
5
15
11
13
11
2
0
18
7
2
3
1
14
26
5
6
4
6
8
1
4
8
9
8
23
8
6
18
1
0
8
10
7
10
4
4
7
0
0
10
26
1
35
5
7
2
4
5
8
23
2
4
7
16
16
19
8
4
14
16
2
6
3
14
2
4
4
9
1
9
1
13
27
2
8
2
28
5
1
6
4
0
13
5
6
34
29
10
3
2
1
5
27
1
9
5
12
47
15
2
7
5
5
2
3
8
8
12
11
12
6
0
18
6
0
6
2
13
4
8
9
7
3
5
39
20
6
6
5
10
1
0
11
4
1
42
13
10
10
2
7
35
5
10
3
17
7
5
7
1
5
1
1
18
12
0
19
34
12
1
8
14
0
16
3
1
37
7
1
2
23
5
2
7
18
9
5
26
24
2
42
5
33
0
26
8
48
0
1
0
5
1
0
19
16
11
24
5
5
5
0
