DIA;TIEMPO_ATRASO;TIEMPO_DESPACHO;TIEMPO_IDA;TIEMPO_ATENCION;TIEMPO_TRASLADO;TIEMPO_DERIVACION;TIEMPO_PROCESO
1;0.0;5.161111508739355;56.20578043876924;20.465815316451;29.26091257922839;11.4278654396735;107.2469453172063
2;0.0;5.44847713778657;65.24306263153545;22.0371535329797;30.671013814375325;14.5574995803121;121.7868569077528
3;0.0;5.186839307180666;64.9975368275426;21.232525040596002;31.412079832964636;14.4408884528061;121.7868569077528
4;0.0;4.997967201587662;69.05608058003162;21.7891636697088;33.045748890743695;14.676857774754325;133.61367622675112
5;0.0;4.93845005929653;68.75556803940492;22.117780056322026;33.5536702549568;14.6793279260124;133.03707655114357
6;0.0;4.78571235049543;69.6249712163447;22.06288094691725;33.89083825655049;14.62879910458875;133.3973125732801
7;0.0;4.8805313221513;69.81601672175748;22.032359425529425;32.59535228867822;14.54349027365215;132.98966646355618
8;0.0;4.8657044676429475;71.48728619158192;21.9111574554022;33.301282025285474;14.562040081796525;133.99896275983556
9;0.0;4.812346015712275;71.03611574330671;22.01591427220555;33.33427288233243;14.434243544683925;133.97673846393386
10;0.0;4.83043645202899;71.37518981311723;21.620930504393776;33.53164489607653;14.4904314036241;134.3815666738816
11;0.0;4.94784484047041;71.05323111523921;21.1239166603693;33.255841487946284;14.4717799952713;133.73634332448722
12;0.0;5.14833428493942;71.61331120642535;21.37861665177225;33.45858189653593;14.4842142675065;134.0493582318516
13;0.0;5.149615997254785;71.7325512939849;21.27674945612415;33.63859928865905;14.3403866414181;133.97673846393386
14;0.0;5.156004609154753;71.61331120642535;21.2637285724991;33.63859928865905;14.36084044445735;133.79379423781936
15;0.0;5.1491887598163295;71.49186142202552;21.234254331882674;33.53164489607653;14.4021786425779;133.38304598393995
16;0.0;5.24722865783531;71.49643665246913;21.1239166603693;33.45508843508605;14.517734522253601;132.84062807303604
17;0.0;5.336537231545584;71.45320083611296;21.23082185851635;33.572843270916124;14.587112028306901;133.0054698260853
18;2.6372296689951327;5.382814235863755;71.47768228874224;21.060576458619323;33.59201628687545;14.591846303199876;133.74164464221957
19;2.6372296689951327;5.377480206151833;71.73664456815368;21.0581725928097;33.59201628687545;14.6694473209801;134.48740549184737
20;2.6372296689951327;5.466128707839915;72.12424646641557;21.0215085083098;33.63859928865905;14.6694473209801;135.40981600284545
21;2.6372296689951327;5.497538330152135;72.24417853033822;21.220214710415924;33.66662378216852;14.75653450504395;135.63966357557075
22;2.6372296689951327;5.471609567548692;72.20450613336448;21.182894772759376;33.674793675144954;14.749971325140251;135.6201289791301
23;2.6372296689951327;5.49574745788582;72.12424646641557;21.255213600370553;33.72226272912213;14.722473188414526;135.48444916051375
24;2.6372296689951327;5.501048529835501;71.56298809615146;21.200290328461524;33.68280224359898;14.68306377141;134.6902232543412
25;2.6372296689951327;5.466128707839915;71.56298809615146;21.1741969949083;33.73408146288751;14.671917472238174;134.6094092020008
26;2.6372296689951327;5.466128707839915;71.8713283223733;21.13648674400405;34.12512580969872;14.6444275635343;134.6902232543412
27;11.316288538673689;5.49213156612592;72.24417853033822;21.1239166603693;33.82238956707017;14.6793279260124;135.40981600284545
28;11.316288538673689;5.507085233104155;72.35587044365275;21.285512853684924;33.8003125410245;14.722473188414526;135.38486836763616
29;11.316288538673689;5.50796395412166;72.16174236771258;21.2727403954921;33.82238956707017;14.7351945668163;134.65241695730586
30;11.316288538673689;5.50620651208665;72.04542637419945;21.3117844818378;33.83708129701483;14.766819164911;134.5690021758306
