DIA;TIEMPO_ATRASO;TIEMPO_DESPACHO;TIEMPO_IDA;TIEMPO_ATENCION;TIEMPO_TRASLADO;TIEMPO_DERIVACION;TIEMPO_PROCESO
1;0.0;3.56768952986741;72.36491087093361;25.210466922312598;32.69732815677993;11.4429254598803;140.5105814956456
2;0.0;5.30274274962319;74.04406199612202;24.514792613292876;32.926415377120385;12.9608100918025;142.49111242828994
3;0.0;4.847663502214275;74.67722043176423;23.73684928722735;33.113435702657384;15.2823271880083;140.36962232881885
4;5.635857268334803;4.81581365065238;78.86859520754297;22.2636363186819;33.255841487946284;14.703496265109399;145.6042758914933
5;5.635857268334803;4.83579626653246;77.89692999729965;21.929738612340998;32.95703875161644;14.25604867225055;138.92285630521755
6;5.635857268334803;4.8649409913616;76.74186220177705;21.823869287148625;32.926415377120385;14.1783974198074;138.5925214127281
7;5.635857268334803;4.83579626653246;74.67722043176423;21.929738612340998;33.27029483068561;13.758674345391025;137.20524329693987
8;5.635857268334803;4.995904634873286;76.85634935242706;20.8606421029646;33.355727656392844;13.8183940374423;136.7604913406586
9;4.97964979164135;5.168080447844025;76.21532689743981;19.97474421439435;33.335573895194315;14.064350115044576;136.85297870538966
10;4.97964979164135;5.2531702729189504;75.14824906151364;19.7073577210189;33.223475611592065;14.13762510025795;135.6203565465018
11;4.97964979164135;5.3077517299283326;75.06980735278466;19.600562863094;33.275112611598715;14.3336999246937;136.7604913406586
12;4.97964979164135;5.3932940030925725;75.383575914233;19.7687290370648;33.2617887855126;14.329283280834975;136.57315720046347
13;7.617960519546159;5.4858503104789;78.331641970894;19.7928417235265;33.355727656392844;14.3336999246937;138.81911146239366
14;7.617960519546159;5.515395099381648;78.18434830138952;19.881259989283425;33.29526637279724;14.24007972267195;138.76246394997727
15;7.076832609813209;5.4858503104789;78.44102630170892;20.0313495201729;33.44301235757467;14.311159290293626;138.97304726973564
16;7.026143103935283;5.46997273412267;80.76790570926187;19.9720503847771;33.99557608412961;14.31670988226755;140.7311408400577
17;7.160299383042002;5.47353158069007;81.09098750948351;19.9756421576001;34.40858997955786;14.1450529984779;141.59184223178926
18;8.458261618088727;5.48671343757598;80.99232463185672;20.04493293352985;34.64234940242318;14.0531830934806;141.34510954443243
19;8.458261618088727;5.487576564673059;80.46276813510303;20.3421467347708;34.61326521547957;13.936773635846698;140.43664733219612
20;7.919712217302731;5.479280398062827;80.77467900109718;20.275832372679876;34.51918514161362;13.8499277858817;140.43887814410152
21;7.919712217302731;5.43449253265567;80.50851724517452;20.348041199882;34.40858997955786;13.818301100762;139.83367520739816
22;7.908103086934716;5.390988875093653;80.59774133832707;20.60115802378445;34.64234940242318;13.787836284548625;140.44440259791767
23;7.908103086934716;5.41028046346196;80.77467900109718;20.867166229479576;34.591477198630486;13.7734535662073;140.64380149633874
24;7.908103086934716;5.3867428318894;80.59774133832707;20.87369035599455;34.419055438748124;13.768978655014374;140.43887814410152
25;7.908103086934716;5.32698480316103;80.64691049316662;20.902921901226627;34.63265467344198;13.8144063287304;140.66915585392866
26;7.908103086934716;5.325968065962665;80.59774133832707;20.9698325735042;34.622959944460774;13.813688892183901;140.64380149633874
27;7.908103086934716;5.322539126230614;80.05057683293671;21.002319875501698;34.595508294586445;13.7760642650177;140.43887814410152
28;7.908103086934716;5.29824590533253;80.55227428055878;21.0337665072632;34.64234940242318;13.787836284548625;140.50070569790074
29;7.908103086934716;5.38585381414269;80.19367333174887;21.0714685049726;34.64234940242318;13.8183940374423;140.43999355005423
30;7.908103086934716;5.399362338558203;79.85091117385855;21.2554517309773;34.693421851148216;13.8181152274014;140.46567031342968
